"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,0.354723599147725,6.53832711353295,6.41629097795515,2.17550139436194,2.15463332558365,6.00017357697401,8.06162496578694e-06,-2.01566945076255,1,0.0144052158494058,0.00121635646753847,0.0114577259044016,0.00621522291382207,0.00250690976472218,7.55670699935344e-05,2.35393509508637e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.96887431144714,-4.29987295940875,0.9,0.0018385789600996,0.00176918021943145
2,3.05081655082143,6.39820299417589,6.40676204182044,1.65045844784418,2.06991636604569,5.53991970609614,6.79078408110855e-06,-2.12088790075688,1,0.0157214115643138,0.00140423150952361,0.0116154026198761,0.00603261599603731,0.00193068602099636,7.16873870583009e-05,1.9731871217091e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.94369156360626,-4.19924005989872,0.9,0.00166379714954243,0.00171759619751161
3,11.0511888734701,6.10530555651172,6.14447700798117,1.36302188461006,2.0134481483488,5.36224871519558,5.87215097443468e-06,-2.21552317410395,1,0.0176833878063893,0.00155158215502867,0.0116790290586603,0.00637056481112141,0.00177969108406037,8.08290013315413e-05,1.80636017415992e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.88772667646408,-4.40573163486278,0.9,0.00158634710451358,0.00155847146066733
4,23.6811301219232,5.99306666303461,6.21393395123603,1.42048096355082,1.99265503549272,5.49453150084912,6.87240525808969e-06,-2.31742246028838,0.884163508,0.0170012633515452,0.00157533940590146,0.0113985708919565,0.00593182242421676,0.0015640880841015,9.88779865002052e-05,1.43642901025527e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.11071622371674,-4.63770671853269,0.9,0.00137053957967558,0.00144112857684817
5,34.5332325935714,6.26831560026435,6.48895199660446,2.02440272786753,2.02801877698722,6.45080133035422,1.00489418885196e-05,-2.82064937060343,0.607671289,0.0110041326537895,0.00101339235785609,0.0103328516159046,0.00534249315337846,0.00157330077406165,8.93223206592436e-05,1.31842560070312e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.63945180177689,-4.49766264374187,0.9,0.00121589763757962,0.00127077309374362
6,36.7992854627181,6.7918426966867,6.82225115823817,3.26533174526506,2.08548026752914,7.95744660977888,7.76539842994053e-06,-3.92638605593492,0.446021763,0.00656834677067752,0.000616108831957988,0.00827162367117002,0.00422002980830573,0.00167608198864175,0.000104916429354881,1.29953661763687e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.45868036746979,-4.76664307750251,0.9,0.00112551096670798,0.00122910186229364
7,31.4241223516905,6.75758106253447,6.52609603920332,4.77443059842172,2.13446587343949,9.70822523431704,6.76508965829589e-06,-4.76047526892278,0.411451011,0.00537989675479273,0.000533941931114446,0.00764424445521713,0.00376498182464122,0.00181668531442528,0.000101382056179652,9.87943635025077e-06,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.26399610042572,-4.74619748695567,0.9,0.00110853634856934,0.00121992305430551
8,24.1702844691128,6.46414264365061,6.29068912282753,5.97915071045,2.19486466140464,10.8131901190425,5.71987966347147e-06,-4.80922770593868,0.476442673,0.00494962964040516,0.000510722485124594,0.00725389729848241,0.00369749307252944,0.00183963493510008,6.56871276520019e-05,1.20036905725981e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.38721853494644,-4.83304271980882,0.9,0.00112776680966914,0.00124295789785505
9,12.8719003964185,6.30520261329914,6.25643529635617,6.19247989735732,2.24517227327182,10.8303855792647,6.46682824272097e-06,-4.40428707484628,0.639261454,0.00554412463569383,0.00051160439038892,0.00799297306332826,0.00411369666981688,0.00201596049565405,0.000104541701440037,1.38154695855196e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,1.88318481445312,-4.61928737306474,0.9,0.00121995459286103,0.00133020882453258
10,5.24283338199074,6.43495516722152,6.34450784710347,5.58892325534974,2.28957194656326,9.91292177581832,8.99810591475935e-06,-3.82065632529671,0.922987598,0.00658675779689212,0.00056093437248784,0.00893102338125904,0.00460343577425804,0.00213574204167264,0.000101057013293846,1.43255440731098e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.39695960283279,-4.48248794165043,0.9,0.00141023462678166,0.00145292948340901
11,0.811267909087839,6.50003755062899,6.47309789760248,4.28834608461207,2.33258136390695,8.17038883074009,9.97297399579733e-06,-2.94151035915945,1,0.00762269494968926,0.000709448100150308,0.00779864623315668,0.00394119685988056,0.0024276146837692,8.81788263428367e-05,1.39332135914187e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,2.59858301877975,-4.56433721331179,0.9,0.00138688469057684,0.00147088357688345
12,0.0926073502888373,6.47940541933497,6.45830761707112,3.08329798719855,2.34002658693041,6.65651391780261,9.03842958544038e-06,-2.41615246096587,1,0.0115172816980687,0.000918406727897709,0.00931312736920347,0.00496952429743933,0.00246295235020253,0.00012833256109843,2.0951539037066e-05,0.0003266419,0.0003266419,0.0003266419,9.619828e-08,9.619828e-08,9.619828e-08,3.17000074386597,-4.36619843784515,0.9,0.0016042274935417,0.00155997851614641
